Region Code,Region Name,Country Code,Country Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,Age-standardized death rate per 100 000 standard population,Death rate per 100 000 population
NAC,North America and the Caribbean,USA,United States of America,2013,All,Age55_59,[55-59],40035.0,26.16991653,,190.93388585
NAC,North America and the Caribbean,USA,United States of America,2013,All,Age60_64,[60-64],50370.0,27.2055567,,278.15314924
NAC,North America and the Caribbean,USA,United States of America,2013,All,Age65_69,[65-69],59247.0,27.61982015,,413.31558881
NAC,North America and the Caribbean,USA,United States of America,2013,All,Age70_74,[70-74],67341.0,28.06810604,,657.37677761
NAC,North America and the Caribbean,USA,United States of America,2013,All,Age75_79,[75-79],83357.0,30.05870602,,1090.2321182
NAC,North America and the Caribbean,USA,United States of America,2013,All,Age80_84,[80-84],114908.0,33.04812496,,2021.3747699
NAC,North America and the Caribbean,USA,United States of America,2013,All,Age85_over,[85+],322191.0,39.04408397,,5293.341802
NAC,North America and the Caribbean,USA,United States of America,2013,Male,Age_all,[All],402845.0,30.84497994,164.0643769,257.55952338
NAC,North America and the Caribbean,USA,United States of America,2013,Male,Age00,[0],259.0,1.97423584,,13.00080063
NAC,North America and the Caribbean,USA,United States of America,2013,Male,Age01_04,[1-4],123.0,5.29715762,,1.45625913
NAC,North America and the Caribbean,USA,United States of America,2013,Male,Age05_09,[5-9],60.0,4.34153401,,0.56212392
NAC,North America and the Caribbean,USA,United States of America,2013,Male,Age10_14,[10-14],87.0,5.13577332,,0.81950405
NAC,North America and the Caribbean,USA,United States of America,2013,Male,Age15_19,[15-19],250.0,3.69877201,,2.23449886
NAC,North America and the Caribbean,USA,United States of America,2013,Male,Age20_24,[20-24],542.0,3.842609,,4.65083153
NAC,North America and the Caribbean,USA,United States of America,2013,Male,Age25_29,[25-29],975.0,6.49004859,,8.79985343
NAC,North America and the Caribbean,USA,United States of America,2013,Male,Age_unknown,[Unknown],21.0,22.10526316,,
NAC,North America and the Caribbean,USA,United States of America,2013,Male,Age30_34,[30-34],1791.0,10.89548607,,17.2840812
NAC,North America and the Caribbean,USA,United States of America,2013,Male,Age35_39,[35-39],2918.0,16.63246694,,29.3302147
NAC,North America and the Caribbean,USA,United States of America,2013,Male,Age40_44,[40-44],5905.0,23.13146349,,58.05916804
NAC,North America and the Caribbean,USA,United States of America,2013,Male,Age45_49,[45-49],10791.0,26.62406553,,99.58473599
NAC,North America and the Caribbean,USA,United States of America,2013,Male,Age50_54,[50-54],19232.0,28.50621054,,172.58773374
NAC,North America and the Caribbean,USA,United States of America,2013,Male,Age55_59,[55-59],27528.0,29.28635261,,268.05380551
NAC,North America and the Caribbean,USA,United States of America,2013,Male,Age60_64,[60-64],33981.0,30.25131533,,390.00250315
NAC,North America and the Caribbean,USA,United States of America,2013,Male,Age65_69,[65-69],37762.0,30.37386184,,560.77825246
NAC,North America and the Caribbean,USA,United States of America,2013,Male,Age70_74,[70-74],40292.0,30.16455298,,856.14084295
NAC,North America and the Caribbean,USA,United States of America,2013,Male,Age75_79,[75-79],45965.0,31.44712177,,1337.8525088
