Country Code,Location,HealthExpenditurePerCapita(USD),Sex,LtrsPureAlcConsumedAvg,LtrsPureAlcConsumedLow,LtrsPureAlcConsumedAvgHigh,TobaccoUse(%),TobaccoUseLow(%),TobaccoUseHigh(%),ParentLocationCode,ParentLocation,ObesityPrevalence(%),ObesityPrevalenceLow(%),ObesityPrevalenceHigh(%),Year,Percentage of cause-specific deaths out of total deaths,Death rate per 100 000 population
PRY,Paraguay,439.34,All,5.55,3.43,7.89,14.6,10.3,19.0,AMR,Americas,26.33,23.2,29.6,2014,25.13067655,102.71949834
PRY,Paraguay,439.34,Male,8.75,5.4,12.44,23.4,16.4,30.4,AMR,Americas,23.23,18.74,27.87,2014,23.73215813,107.42859185
ISL,Iceland,4487.53,Male,11.75,7.74,15.75,14.1,11.5,16.6,EUR,Europe,20.2,16.81,23.82,2014,34.50905624,220.39305457
ISL,Iceland,4487.53,Female,3.53,2.35,4.77,13.6,10.9,16.3,EUR,Europe,18.1,14.64,21.97,2014,31.23123123,191.25440207
ISL,Iceland,4487.53,All,7.64,5.05,10.21,13.8,11.2,16.5,EUR,Europe,19.15,16.67,21.73,2014,32.91015625,205.87350387
LCA,Saint Lucia,462.74,Male,13.55,8.4,18.6,26.9,20.0,33.8,AMR,Americas,15.31,12.74,18.0,2014,29.43603851,243.71910803
LCA,Saint Lucia,462.74,Female,3.53,2.17,4.89,3.9,2.8,5.0,AMR,Americas,39.32,35.78,42.89,2014,34.26573427,216.57219257
LCA,Saint Lucia,462.74,All,8.49,5.26,11.63,15.4,11.4,19.4,AMR,Americas,27.47,25.27,29.72,2014,31.64362519,231.07641226
GBR,United Kingdom of Great Britain and Northern Ireland,4697.76,All,10.44,7.46,13.5,19.3,16.3,22.3,EUR,Europe,25.16,24.54,25.8,2014,27.11448064,239.40058163
GBR,United Kingdom of Great Britain and Northern Ireland,4697.76,Male,16.39,11.7,21.29,21.2,17.7,24.6,EUR,Europe,24.34,23.46,25.25,2014,28.0989747,246.09552216
GBR,United Kingdom of Great Britain and Northern Ireland,4697.76,Female,4.77,3.38,6.2,17.4,14.9,19.9,EUR,Europe,25.97,25.09,26.89,2014,26.17528761,232.91162394
BIH,Bosnia and Herzegovina,492.21,Female,2.04,1.16,2.97,31.6,19.9,43.3,EUR,Europe,18.91,14.64,23.38,2014,54.40408627,490.61982593
BIH,Bosnia and Herzegovina,492.21,All,5.83,3.42,8.27,38.8,25.7,51.9,EUR,Europe,17.98,15.03,21.12,2014,49.76653696,467.84414148
